MeterPoint Code,Serial Number,Plant Code,Date/Time,Data Type,Data Value,Units,Status
210095893,210095893,ED031000001,31/08/2015 6:00,Export varh Total,3.7,kvarh,
210095893,210095893,ED031000001,31/08/2015 6:15,Export varh Total,4.1,kvarh,
210095893,210095893,ED031000001,31/08/2015 6:30,Export varh Total,3.5,kvarh,
210095893,210095893,ED031000001,31/08/2015 6:45,Export varh Total,3.6,kvarh,
210095893,210095893,ED031000001,31/08/2015 7:00,Export varh Total,3.2,kvarh,
210095893,210095893,ED031000001,31/08/2015 7:15,Export varh Total,3.6,kvarh,
210095893,210095893,ED031000001,31/08/2015 7:30,Export varh Total,3.2,kvarh,
210095893,210095893,ED031000001,31/08/2015 7:45,Export varh Total,3.9,kvarh,
210095893,210095893,ED031000001,31/08/2015 8:00,Export varh Total,3.6,kvarh,
210095893,210095893,ED031000001,31/08/2015 8:15,Export varh Total,4.3,kvarh,
210095893,210095893,ED031000001,31/08/2015 8:30,Export varh Total,3.7,kvarh,
210095893,210095893,ED031000001,31/08/2015 8:45,Export varh Total,3.9,kvarh,
210095893,210095893,ED031000001,31/08/2015 9:00,Export varh Total,3.2,kvarh,
210095893,210095893,ED031000001,31/08/2015 9:15,Export varh Total,3.1,kvarh,
210095893,210095893,ED031000001,31/08/2015 9:30,Export varh Total,3.7,kvarh,
210095893,210095893,ED031000001,31/08/2015 9:45,Export varh Total,3.4,kvarh,
210095893,210095893,ED031000001,31/08/2015 10:00,Export varh Total,3.5,kvarh,
210095893,210095893,ED031000001,31/08/2015 10:15,Export varh Total,2.7,kvarh,
210095893,210095893,ED031000001,31/08/2015 10:30,Export varh Total,3.4,kvarh,
210095893,210095893,ED031000001,31/08/2015 10:45,Export varh Total,3.7,kvarh,
210095893,210095893,ED031000001,31/08/2015 11:00,Export varh Total,3.7,kvarh,
210095893,210095893,ED031000001,31/08/2015 11:15,Export varh Total,4.3,kvarh,
210095893,210095893,ED031000001,31/08/2015 11:30,Export varh Total,2.7,kvarh,
210095893,210095893,ED031000001,31/08/2015 11:45,Export varh Total,2.9,kvarh,
210095893,210095893,ED031000001,31/08/2015 12:00,Export varh Total,3.1,kvarh,
210095893,210095893,ED031000001,31/08/2015 12:15,Export varh Total,3.5,kvarh,
210095893,210095893,ED031000001,31/08/2015 12:30,Export varh Total,3.8,kvarh,
210095893,210095893,ED031000001,31/08/2015 12:45,Export varh Total,3.2,kvarh,
210095893,210095893,ED031000001,31/08/2015 13:00,Export varh Total,3.5,kvarh,
